countryCode,countryName,year,electricityAccess,region
ZWE,Zimbabwe,2016,42.5,Sub-Saharan Africa
ZMB,Zambia,2017,40.3,Sub-Saharan Africa
ZWE,Zimbabwe,2017,44.0,Sub-Saharan Africa
VNM,Vietnam,2009,96.1,East Asia & Pacific
VIR,Virgin Islands (U.S.),2009,100.0,North America
ZMB,Zambia,2009,26.6,Sub-Saharan Africa
ZWE,Zimbabwe,2009,43.4,Sub-Saharan Africa
ZMB,Zambia,2018,40.2,Sub-Saharan Africa
ZWE,Zimbabwe,2018,45.4,Sub-Saharan Africa
ZMB,Zambia,2011,28.3,Sub-Saharan Africa
ZWE,Zimbabwe,2011,36.9,Sub-Saharan Africa
ZMB,Zambia,2014,27.9,Sub-Saharan Africa
ZWE,Zimbabwe,2014,32.3,Sub-Saharan Africa
ZWE,Zimbabwe,2012,44.0,Sub-Saharan Africa
VNM,Vietnam,2002,89.1,East Asia & Pacific
VIR,Virgin Islands (U.S.),2002,100.0,North America
ZMB,Zambia,2002,17.4,Sub-Saharan Africa
ZWE,Zimbabwe,2002,34.2,Sub-Saharan Africa
VNM,Vietnam,2010,97.4,East Asia & Pacific
VIR,Virgin Islands (U.S.),2010,100.0,North America
ZMB,Zambia,2010,22.0,Sub-Saharan Africa
ZWE,Zimbabwe,2010,38.9,Sub-Saharan Africa
VNM,Vietnam,2001,88.9,East Asia & Pacific
VIR,Virgin Islands (U.S.),2001,100.0,North America
ZMB,Zambia,2001,20.2,Sub-Saharan Africa
ZWE,Zimbabwe,2001,34.2,Sub-Saharan Africa
ZMB,Zambia,2020,44.6,Sub-Saharan Africa
ZWE,Zimbabwe,2020,52.7,Sub-Saharan Africa
VNM,Vietnam,2003,90.3,East Asia & Pacific
VIR,Virgin Islands (U.S.),2003,100.0,North America
ZMB,Zambia,2003,18.5,Sub-Saharan Africa
ZWE,Zimbabwe,2003,35.1,Sub-Saharan Africa
VNM,Vietnam,2008,93.8,East Asia & Pacific
VIR,Virgin Islands (U.S.),2008,100.0,North America
ZMB,Zambia,2008,25.7,Sub-Saharan Africa
ZWE,Zimbabwe,2008,37.7,Sub-Saharan Africa
VIR,Virgin Islands (U.S.),2005,100.0,North America
ZMB,Zambia,2005,23.3,Sub-Saharan Africa
ZWE,Zimbabwe,2005,36.1,Sub-Saharan Africa
ARG,Argentina,2011,99.0,Latin America & Caribbean
AUS,Australia,2011,100.0,East Asia & Pacific
ARG,Argentina,2010,98.8,Latin America & Caribbean
AUS,Australia,2010,100.0,East Asia & Pacific
ZMB,Zambia,2021,46.7,Sub-Saharan Africa
ZWE,Zimbabwe,2021,49.0,Sub-Saharan Africa
VNM,Vietnam,2007,93.1,East Asia & Pacific
VIR,Virgin Islands (U.S.),2007,100.0,North America
ZMB,Zambia,2007,18.5,Sub-Saharan Africa
ZWE,Zimbabwe,2007,37.2,Sub-Saharan Africa
VNM,Vietnam,2013,98.5,East Asia & Pacific
VIR,Virgin Islands (U.S.),2013,100.0,North America
ZMB,Zambia,2013,30.1,Sub-Saharan Africa
ZWE,Zimbabwe,2013,40.6,Sub-Saharan Africa
VNM,Vietnam,2022,100.0,East Asia & Pacific
VIR,Virgin Islands (U.S.),2022,100.0,North America
ZMB,Zambia,2022,47.8,Sub-Saharan Africa
ZWE,Zimbabwe,2022,50.1,Sub-Saharan Africa
ARG,Argentina,2008,97.5,Latin America & Caribbean
AUS,Australia,2008,100.0,East Asia & Pacific
VNM,Vietnam,2000,88.2,East Asia & Pacific
VIR,Virgin Islands (U.S.),2000,100.0,North America
ZMB,Zambia,2000,16.7,Sub-Saharan Africa
ZWE,Zimbabwe,2000,33.7,Sub-Saharan Africa
CHN,China,2014,100.0,East Asia & Pacific
COL,Colombia,2014,97.8,Latin America & Caribbean
CHL,Chile,2017,99.7,Latin America & Caribbean
CHN,China,2017,100.0,East Asia & Pacific
COL,Colombia,2017,98.5,Latin America & Caribbean
KEN,Kenya,2014,36.0,Sub-Saharan Africa
KOR,"Korea, Rep.",2014,100.0,East Asia & Pacific
